id,ImageID,PredictionString_pred
0,sherpur2_1073,"0.0 0.7881569266319275 0.29246570356190205 0.4156796932220459 0.026966478675603867 0.07210922241210938,6.0 0.7652515769004822 0.6911253780126572 0.4621262848377228 0.17080441117286682 0.31340593099594116"
1,mymensingh1_0,"7.0 0.6349074840545654 0.4695222079753876 0.08339834213256836 0.18355399370193481 0.753540575504303,7.0 0.5314186215400696 0.46325718238949776 0.13634657859802246 0.050248466432094574 0.17077407240867615"
2,mymensingh1_96860,"9.0 0.9278854727745056 0.28076179325580597 0.1795375570654869 0.05079314112663269 0.13518814742565155,7.0 0.7987895011901855 0.8756727576255798 0.156385600566864 0.03299140930175781 0.18405774235725403,9.0 0.7987656593322754 0.566879965364933 0.15655936300754547 0.07688586413860321 0.1880635917186737,0.0 0.7723447680473328 0.355082081630826 0.17096280306577682 0.047995951026678085 0.12518151104450226,0.0 0.7671526670455933 0.4779284745454788 0.1620577871799469 0.0713481605052948 0.156063973903656,0.0 0.6369240283966064 0.4371133390814066 0.18460095673799515 0.05295194312930107 0.1357661932706833"
3,khulna4_22590,"0.0 0.9179350137710571 0.0961485505104065 0.025285273790359497 0.36081868410110474 0.7334815859794617,0.0 0.8788183927536011 0.7884705774486065 0.23497764021158218 0.04702339321374893 0.11968706548213959,7.0 0.8566591739654541 0.8056814447045326 0.007813364267349243 0.1931198090314865 0.9705910682678223,0.0 0.8505799174308777 0.614923357963562 0.1839810311794281 0.11797618865966797 0.301302433013916,7.0 0.8450751304626465 0.5109863169491291 0.20788288116455078 0.0684303268790245 0.3263692259788513,0.0 0.5909512042999268 0.8627460822463036 0.009149014949798584 0.13725395500659943 0.9841264486312866"
4,mymensingh1_106713,0.0 0.9290541410446167 0.17349669337272644 0.008756518363952637 0.4208780527114868 0.9797236323356628
5,khulna4_22770,"7.0 0.8853102922439575 0.8049453943967819 0.010167956352233887 0.19383850693702698 0.9709933996200562,0.0 0.8671696186065674 0.43123768270015717 0.08918008208274841 0.18916168808937073 0.5548944473266602,0.0 0.8428140878677368 0.7886834256350994 0.2287304289638996 0.046419717371463776 0.1197185143828392,7.0 0.7471065521240234 0.1290668100118637 0.10640707612037659 0.16395586729049683 0.8533627390861511,0.0 0.6184173226356506 0.8662179782986641 0.00499233603477478 0.1337820142507553 0.9950076937675476"
6,khulna7_7770,"7.0 0.9726653099060059 0.7213630676269531 0.4027889668941498 0.2786369323730469 0.5972110629081726,0.0 0.8444370627403259 0.7385452622547746 0.351607296615839 0.021489812061190605 0.050632648169994354,0.0 0.7773652076721191 0.745459571480751 0.0026255249977111816 0.25452348589897156 0.9928244948387146,0.0 0.7681127786636353 0.701587307266891 0.3512806352227926 0.02487506903707981 0.05012207105755806,1.0 0.6676110625267029 0.577376795001328 0.372610904276371 0.02832660637795925 0.0884043425321579,7.0 0.5907213091850281 0.5780104752629995 0.3249592296779156 0.030544091016054153 0.10083482414484024"
7,sherpur2_1450,"0.0 0.8360604047775269 0.2030087634921074 0.4282742440700531 0.12201376259326935 0.3164568543434143,0.0 0.7331982254981995 0.33580141607671976 0.47257137298583984 0.03048534505069256 0.08200669288635254,7.0 0.5159307718276978 0.0 0.4806402325630188 0.07388236373662949 0.2975267171859741"
8,khulna4_9240,"7.0 0.938247561454773 0.7630299180746078 0.008734047412872314 0.23697009682655334 0.9597916007041931,9.0 0.8998922109603882 0.6512083411216736 0.17136184871196747 0.11530017852783203 0.33170947432518005,0.0 0.7787743806838989 0.5842249989509583 0.2322617881000042 0.04552650451660156 0.1180339828133583,0.0 0.7428145408630371 0.7558489665389061 0.18338251113891602 0.06577654182910919 0.17011821269989014,7.0 0.6924094557762146 0.2208737600594759 0.24628441780805588 0.046456243842840195 0.2267177253961563,0.0 0.6752656102180481 0.8334448114037514 0.013865679502487183 0.16655521094799042 0.9731265902519226,7.0 0.5489962697029114 0.5573382377624512 0.26722633838653564 0.015881061553955078 0.061926186084747314"
9,dhaka2_11880,"11.0 0.8892536759376526 0.222029909491539 0.375869482755661 0.16826143860816956 0.2882228493690491,6.0 0.6320619583129883 0.1707747569307685 0.4954698532819748 0.02679467387497425 0.06831088662147522,7.0 0.5192489624023438 0.17181040346622467 0.47733065485954285 0.02230951189994812 0.06958109140396118"
10,mymensingh1_107715,"0.0 0.9079151153564453 0.03478604555130005 0.0 0.747170090675354 0.9891740679740906,0.0 0.6367789506912231 0.7860273271799088 0.17101681977510452 0.21222230792045593 0.20397554337978363,9.0 0.5706998705863953 6.318092346191406e-05 0.08763834834098816 0.07286123186349869 0.6954981684684753"
11,dhaka2_15000,"3.0 0.9247130155563354 0.0 0.5240161418914795 0.19262942671775818 0.4731391668319702,3.0 0.9233924150466919 0.2417135387659073 0.5334473997354507 0.2223961055278778 0.30803510546684265,3.0 0.9037185311317444 0.4433436617255211 0.5246806964278221 0.2243608981370926 0.19627244770526886,3.0 0.8584418296813965 0.15253017470240593 0.5648848861455917 0.09970761090517044 0.14059606194496155,9.0 0.6373009085655212 0.8950152024626732 0.5461623594164848 0.10035629570484161 0.12657012045383453"
12,rajshahi1_1920,"2.0 0.9606340527534485 0.3568118065595627 0.2574036717414856 0.3242776691913605 0.5284093618392944,6.0 0.8707720637321472 0.0 0.6417357474565506 0.1194489374756813 0.2800167500972748,0.0 0.7377530932426453 0.2155759297311306 0.5288445316255093 0.035335637629032135 0.07019365578889847,7.0 0.5953958034515381 0.0004611276090145111 0.5220227092504501 0.10183990001678467 0.3287014067173004"
13,mymensingh2_4785,"9.0 0.9416361451148987 0.4589821919798851 0.012209564447402954 0.21505410969257355 0.5949978828430176,0.0 0.9145921468734741 0.7477309480309486 0.01275816559791565 0.2171732634305954 0.5393061637878418,0.0 0.9086107611656189 0.01989053189754486 0.01797264814376831 0.3424457907676697 0.6122047901153564,0.0 0.8298455476760864 0.43550504371523857 0.1286514401435852 0.05715618282556534 0.25622856616973877,9.0 0.7385484576225281 0.7198543660342693 0.12434195727109909 0.03726253658533096 0.21713317930698395,0.0 0.706059992313385 0.702456509694457 0.1582241989672184 0.026993561536073685 0.07328157871961594"
14,maowa_expressway2_47849,"3.0 0.7408198118209839 0.3230315186083317 0.7416172996163368 0.03933798521757126 0.05211012065410614,7.0 0.7393772006034851 0.00466562807559967 0.6363492608070374 0.14869706332683563 0.333280086517334"
15,mymensingh3_4553,"9.0 0.9512411952018738 0.0 0.008784651756286621 0.34473222494125366 0.9343591928482056,9.0 0.9480104446411133 0.5285882204771042 0.0005092918872833252 0.2732274830341339 0.7330968379974365,9.0 0.855864405632019 0.26232219487428665 0.09425750374794006 0.08768652379512787 0.4384816288948059,7.0 0.8363596796989441 0.4350740537047386 0.11578013002872467 0.049312785267829895 0.20882749557495117,9.0 0.8215484023094177 0.39722517132759094 0.11815854907035828 0.09582465887069702 0.2697846293449402,6.0 0.7099331617355347 0.8915979713201523 0.251766175031662 0.10800018906593323 0.4377981424331665,0.0 0.6454214453697205 0.4854862615466118 0.12930934876203537 0.07528127729892731 0.22152011096477509,9.0 0.5178675651550293 0.3548432681709528 0.14486698806285858 0.04682556912302971 0.1734403371810913"
16,sylhet1_15155,"0.0 0.9537181258201599 0.3299729824066162 0.0 0.4946967363357544 0.901786744594574,7.0 0.7906956076622009 0.3301263116300106 0.09104789793491364 0.035713739693164825 0.20831185579299927,7.0 0.771030843257904 0.8700270038098097 0.12022483348846436 0.056989673525094986 0.2888191342353821,9.0 0.7315926551818848 0.1473083645105362 0.05412910878658295 0.13696905970573425 0.3225005269050598,7.0 0.7138845324516296 0.0015867315232753754 0.0043867528438568115 0.04696838557720184 0.2778237760066986,7.0 0.656658411026001 0.8137323837727308 0.1069236546754837 0.03910065069794655 0.2706168591976166,7.0 0.6434332728385925 0.13936364464461803 0.06727707386016846 0.05936098471283913 0.31434592604637146,7.0 0.5623623728752136 0.8286239858716726 0.10952377319335938 0.0398128516972065 0.25664451718330383"
17,chittagong_night1_11340,3.0 0.8248718976974487 0.4971667379140854 0.7128168791532516 0.08865633606910706 0.13022664189338684
18,mymensingh5_1416,"9.0 0.8675479888916016 0.6990964338183403 0.0 0.10200323164463043 0.20279544591903687,6.0 0.8414669632911682 0.4184432178735733 0.06550021469593048 0.1770782172679901 0.4533761441707611,9.0 0.7121598720550537 0.7904087100178003 0.0 0.04283301159739494 0.0806412324309349,9.0 0.6746073961257935 0.9343170989304781 0.0011952966451644897 0.060515787452459335 0.1901029795408249,0.0 0.6142966151237488 0.8569090589880943 0.0 0.03238983452320099 0.05726248398423195,7.0 0.5496665835380554 0.4733063653111458 0.002796769142150879 0.12125454843044281 0.4097791016101837,0.0 0.5494297742843628 0.9099588626995683 0.0 0.027553750202059746 0.05660393834114075,7.0 0.5001692771911621 0.42184896022081375 0.0 0.12973885238170624 0.42185521125793457"
19,maowa_expressway2_1416,"3.0 0.8566180467605591 0.2452775165438652 0.5615272670984268 0.03765173256397247 0.05178448557853699,3.0 0.7940019965171814 0.2858416549861431 0.5236474797129631 0.08457473665475845 0.1488601118326187"
20,khulna4_37020,"0.0 0.9451833367347717 0.5452038645744324 0.2480584979057312 0.2210245132446289 0.4075114130973816,7.0 0.7311087846755981 0.8592008799314499 0.01578688621520996 0.14056530594825745 0.98421311378479,0.0 0.7176455855369568 0.8525136113166809 0.31789578683674335 0.02310657501220703 0.04620274528861046,7.0 0.6454132795333862 0.7904840707778931 0.3147110380232334 0.01952815055847168 0.09249674528837204"
21,mymensingh5_5782,"0.0 0.854488730430603 0.06590044125914574 0.20756351202726364 0.052819497883319855 0.15332265198230743,7.0 0.8202894330024719 0.2836656868457794 0.03628981113433838 0.4098976254463196 0.9539593458175659,9.0 0.7240654230117798 0.1850200816988945 0.13552036881446838 0.12862463295459747 0.3023343086242676,6.0 0.5582505464553833 0.012246101163327694 0.26919474825263023 0.028408734127879143 0.08115584403276443,7.0 0.5383296012878418 0.012204091995954514 0.23187268897891045 0.027068831026554108 0.09725091606378555,0.0 0.5315946936607361 0.7540500909090042 0.0 0.24594995379447937 0.9528785943984985"
22,mymensingh1_4509,6.0 0.5828203558921814 0.36628506146371365 0.3346431963145733 0.014451790601015091 0.04218224436044693
23,dhaka_night3_15871,3.0 0.6444554328918457 0.4047394096851349 0.6944254636764526 0.03477001190185547 0.06531846523284912
24,dhaka_night3_55224,0 0 0 0 0 0
25,dhaka3_6480,"3.0 0.9382883906364441 0.41758259385824203 0.4115476757287979 0.22341497242450714 0.423346608877182,11.0 0.754126787185669 0.10277318954467773 0.4983454644680023 0.29458314180374146 0.3102642893791199,0.0 0.6973342299461365 0.3849442657083273 0.5504882782697678 0.04456214979290962 0.1389121115207672"
26,mymensingh1_58283,0.0 0.9421808123588562 0.7832953035831451 0.13630346953868866 0.21546822786331177 0.4595193564891815
27,dhaka2_17520,"3.0 0.936707079410553 0.0 0.37143823504447937 0.3649630844593048 0.6187558770179749,3.0 0.6686776280403137 0.28699903190135956 0.4379074275493622 0.10200735926628113 0.3122163414955139,7.0 0.5368946194648743 0.33096068538725376 0.38221464306116104 0.036900173872709274 0.12557129561901093"
28,dhaka_night3_49855,11.0 0.8257928490638733 0.5236758403480053 0.4942016527056694 0.08868316560983658 0.2159147411584854
29,dhaka_night3_35695,11.0 0.8713163733482361 0.3802664689719677 0.5761612392961979 0.045780278742313385 0.10590808838605881
30,khulna7_10770,"7.0 0.9797502756118774 0.736788734793663 0.39669591188430786 0.2619740068912506 0.6033041477203369,0.0 0.8859629034996033 0.3956963047385216 0.17635807394981384 0.1961657553911209 0.44322383403778076,0.0 0.829218327999115 0.7105509154498577 0.31278932467103004 0.0333772674202919 0.07411652058362961,0.0 0.7526739239692688 0.7743247821927071 0.0021381676197052 0.22479687631130219 0.9951088428497314"
31,rajshahi5_1200,"7.0 0.8376326560974121 0.892173994332552 0.5991894006729126 0.07286300510168076 0.34122180938720703,7.0 0.8120465874671936 0.598548173904419 0.6083888150751591 0.021598339080810547 0.0987887904047966,6.0 0.7772802114486694 0.5095067247748375 0.6896062642335892 0.0872470885515213 0.20813819766044617,0.0 0.712067723274231 0.48514441028237343 0.578843466937542 0.07023792713880539 0.14928258955478668,7.0 0.6642604470252991 0.7228802684694529 0.6028438284993172 0.05343742296099663 0.21793518960475922,7.0 0.642016589641571 0.6718606352806091 0.60227070748806 0.03288459777832031 0.19428101181983948,7.0 0.5544918775558472 0.6554640885442495 0.6014057174324989 0.024459172040224075 0.183247372508049,7.0 0.5463554859161377 0.714797985740006 0.6145613119006157 0.02863464318215847 0.19883932173252106,0.0 0.5223664045333862 0.2842384334653616 0.5902737267315388 0.02036576345562935 0.04487135261297226"
32,maowa_expressway2_13511,0 0 0 0 0 0
33,sylhet3_1357,"9.0 0.9534813761711121 0.20829267799854279 0.0031936168670654297 0.281628280878067 0.6510486602783203,0.0 0.9282793402671814 0.5805196594446898 0.11106231063604355 0.04472974315285683 0.0952850729227066,9.0 0.8896102905273438 0.9299232698976994 0.09512406587600708 0.07007675617933273 0.28485697507858276,0.0 0.865480899810791 0.632357619702816 0.1157175675034523 0.04353637993335724 0.09639443457126617,9.0 0.8634701371192932 0.516368018463254 0.11195855960249901 0.03627338632941246 0.09354714304208755,7.0 0.8192136883735657 0.8692544922232628 0.10269156843423843 0.046723559498786926 0.22118665277957916,7.0 0.8011460304260254 0.0 0.06636577844619751 0.05803729221224785 0.35013484954833984,6.0 0.6662786602973938 0.045302439481019974 0.16055331379175186 0.11751080304384232 0.2390684336423874,7.0 0.569049060344696 0.5007430072873831 0.11166385188698769 0.020055580884218216 0.09289758652448654"
34,sherpur1_957,"6.0 0.8054381012916565 0.27338315546512604 0.5218916162848473 0.06525889039039612 0.18586595356464386,7.0 0.7892774343490601 0.26397381722927094 0.37808768451213837 0.07925596833229065 0.25299015641212463"
35,khulna7_5940,"7.0 0.97212153673172 0.7391205281019211 0.2930780351161957 0.26074710488319397 0.7015840411186218,0.0 0.7837461233139038 0.7957107545807958 0.2615754995495081 0.023852920159697533 0.0515085868537426,0.0 0.6119006872177124 0.7928351238369942 0.003342539072036743 0.20655785501003265 0.9858223795890808,9.0 0.5765000581741333 0.5929213874042034 0.2807573042809963 0.048947907984256744 0.07657182961702347,7.0 0.5106430649757385 0.7763688084669411 0.26040368154644966 0.010783291421830654 0.037225089967250824"
36,mymensingh1_25050,"9.0 0.8988453149795532 0.5360252372920513 0.0654803216457367 0.09255275875329971 0.25740790367126465,7.0 0.8762074112892151 0.6857860796153545 0.09652775526046753 0.07072219997644424 0.268783837556839,9.0 0.8296875953674316 0.23277359083294868 0.1588018834590912 0.11790492385625839 0.18681597709655762,6.0 0.816796064376831 0.05350667983293533 0.1315728724002838 0.09931054711341858 0.28080564737319946,7.0 0.7883848547935486 0.5677882414311171 0.07120875269174576 0.048292163759469986 0.1991949826478958,7.0 0.7582268118858337 0.39993045292794704 0.0752020925283432 0.04323558881878853 0.14157214760780334,7.0 0.6870912313461304 0.09860584884881973 0.03831838071346283 0.0629069060087204 0.2785250246524811,6.0 0.627560555934906 0.39947258308529854 0.12383176386356354 0.044196926057338715 0.1276668906211853,7.0 0.6019354462623596 0.5059888241812587 0.08414110541343689 0.02081766165792942 0.09512510895729065,7.0 0.5767508149147034 0.2767606843262911 0.04201185703277588 0.04790821298956871 0.15851880609989166"
37,chittagong_night1_18300,"0.0 0.910500705242157 0.41970473900437355 0.6771205365657806 0.08593063801527023 0.1833396553993225,2.0 0.9021637439727783 0.5337032154202461 0.5675000548362732 0.10382042825222015 0.24746811389923096,3.0 0.8896930813789368 0.6314613670110703 0.6679382026195526 0.20992794632911682 0.26303964853286743,9.0 0.5247202515602112 0.38466774486005306 0.6979990676045418 0.03975941613316536 0.08420918881893158"
38,mymensingh2_6757,"9.0 0.9137880206108093 0.06656180322170258 0.006850004196166992 0.36845067143440247 0.774993896484375,0.0 0.903617262840271 0.7879074588418007 0.05757862329483032 0.17937235534191132 0.45523977279663086,9.0 0.8587210178375244 0.42865996062755585 0.0191403329372406 0.2942022383213043 0.6324633955955505,7.0 0.5113846659660339 0.29590531438589096 0.011897444725036621 0.0975620299577713 0.39481446146965027,7.0 0.5014703273773193 0.6913320533931255 0.1343330591917038 0.06202278286218643 0.3759147822856903"
39,maowa_expressway3_1239,"2.0 0.9206240773200989 0.6913243681192398 0.012190192937850952 0.3082467019557953 0.9814115166664124,3.0 0.8686850070953369 0.25695598125457764 0.688109003007412 0.11096733808517456 0.1525929719209671,0.0 0.8497640490531921 0.0 0.5827373415231705 0.11414254456758499 0.4149892032146454,0.0 0.7622391581535339 0.10138345882296562 0.6386609226465225 0.06594810634851456 0.27103444933891296,6.0 0.6887533068656921 0.5044558439403772 0.7389490455389023 0.050816696137189865 0.13225165009498596,3.0 0.6408582329750061 0.16221797466278076 0.6815781109035015 0.04774710536003113 0.11348877102136612"
40,sherpur1_8729,"7.0 0.7866113185882568 0.5514083858579397 0.48488353192806244 0.025656510144472122 0.1365741789340973,11.0 0.730396568775177 0.3971502473577857 0.485376613214612 0.028201105073094368 0.06013437733054161,11.0 0.5456269383430481 0.42704536858946085 0.4891582503914833 0.021828843280673027 0.04534177482128143"
41,sherpur3_2610,0.0 0.6182730197906494 0.33285098848864436 0.5330622754991055 0.014001020230352879 0.031597502529621124
42,khulna8_116,"7.0 0.9331667423248291 0.6608102768659592 0.485196053981781 0.3391897976398468 0.5116420984268188,0.0 0.8638250827789307 0.5052373707294464 0.2321857511997223 0.3159789443016052 0.7220842242240906,0.0 0.6385159492492676 0.3731194883584976 0.3075273334980011 0.14955559372901917 0.4491092562675476,7.0 0.5227603912353516 0.18927506357431412 0.2432841956615448 0.22775642573833466 0.742480456829071,7.0 0.5024744868278503 0.8691670056432486 0.45848702266812325 0.027395058423280716 0.06580688804388046"
43,khulna7_11340,"7.0 0.9680736660957336 0.7466274797916412 0.41511043906211853 0.2533724904060364 0.5848895907402039,0.0 0.7194047570228577 0.6300956606864929 0.31514129415154457 0.029335975646972656 0.06657426804304123,0.0 0.6521700024604797 0.7793844118714333 0.0010952651500701904 0.2199571579694748 0.9989047646522522"
44,khulna7_21570,"7.0 0.9573305249214172 0.7369982153177261 0.007564455270767212 0.2616882026195526 0.9801605343818665,0.0 0.8450090885162354 0.7313525546342134 0.2015032060444355 0.0434202216565609 0.09603407233953476,0.0 0.7628856897354126 0.7942758873105049 0.00586855411529541 0.2057241052389145 0.9877891540527344,7.0 0.5256555676460266 0.6976764798164368 0.21220256574451923 0.011700153350830078 0.04029965028166771"
45,sherpur3_1624,"7.0 0.8467233180999756 0.16683288663625717 0.530345231294632 0.0946633368730545 0.44669967889785767,0.0 0.7531100511550903 0.2705419007688761 0.5531918853521347 0.05537046119570732 0.14246419072151184,9.0 0.7497091889381409 0.28540054336190224 0.6649637967348099 0.11115961521863937 0.15860459208488464,0.0 0.6814783811569214 0.3429750669747591 0.5607520267367363 0.059523966163396835 0.13504113256931305,0.0 0.6731289029121399 0.5873546749353409 0.4172911047935486 0.26688501238822937 0.46735501289367676,11.0 0.6436156630516052 0.43443959206342697 0.5158744230866432 0.08076401054859161 0.17072848975658417,9.0 0.5694947242736816 0.7901048511266708 0.6294860690832138 0.20977726578712463 0.324910432100296"
46,dhaka_night3_21358,"3.0 0.8640897274017334 0.39892803132534027 0.6443045288324356 0.1220143735408783 0.163251131772995,3.0 0.7372981905937195 0.14926791191101074 0.6233953535556793 0.2611490488052368 0.3642149567604065"
47,mymensingh5_5487,"0.0 0.8853185176849365 0.0 0.09381526708602905 0.0704512968659401 0.40884846448898315,6.0 0.8431915044784546 0.4119892977178097 0.16338826715946198 0.1052403524518013 0.2963411509990692,7.0 0.8120105862617493 0.15086247771978378 0.06443256139755249 0.11558599770069122 0.52214115858078,7.0 0.8068569302558899 0.42359210550785065 0.0686902403831482 0.09365501999855042 0.29716455936431885,9.0 0.6710203886032104 0.20221519097685814 0.09185867011547089 0.09825897961854935 0.3107784688472748,7.0 0.6310662031173706 0.2652545925229788 0.05213530361652374 0.04240064695477486 0.19449323415756226,7.0 0.5667769312858582 0.861530601978302 0.03353038430213928 0.1323232650756836 0.5176426768302917"
48,rajshahi5_1080,"1.0 0.7940644025802612 0.7250680327415466 0.7208408936858177 0.1129150390625 0.21240659058094025,7.0 0.7718764543533325 0.04518585652112961 0.6289471387863159 0.08312571048736572 0.3710528612136841,1.0 0.7489220499992371 0.051653068512678146 0.8371936827898026 0.06686463207006454 0.16280636191368103,0.0 0.7468711733818054 0.3215943928807974 0.5990044549107552 0.02596883848309517 0.06358633935451508,7.0 0.7261984944343567 0.17898595333099365 0.6073342263698578 0.04099917411804199 0.16157299280166626,1.0 0.718288242816925 0.1177569180727005 0.7389075830578804 0.06106853485107422 0.19015417993068695,6.0 0.683954656124115 0.725208006799221 0.7040171399712563 0.11275692284107208 0.2292570322751999,7.0 0.6461809277534485 0.7349312044680119 0.616683691740036 0.07662992924451828 0.2559358477592468,7.0 0.6313044428825378 0.12069745548069477 0.6019148826599121 0.06131592020392418 0.2659991979598999,0.0 0.5623307228088379 0.354562901891768 0.6036188304424286 0.02431030385196209 0.05600196123123169,1.0 0.5339400172233582 0.18107610940933228 0.6942123398184776 0.038259685039520264 0.12300415337085724"
